Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -253.476     -272.254       18.778   648.5
0.0010         -253.476     -272.251       18.775   648.4
0.0020         -253.478     -272.245       18.767   648.2
0.0030         -253.481     -272.235       18.754   647.7
0.0040         -253.486     -272.221       18.735   647.1
0.0050         -253.492     -272.203       18.711   646.2
0.0060         -253.499     -272.181       18.682   645.2
0.0070         -253.507     -272.155       18.648   644.1
0.0080         -253.516     -272.126       18.609   642.7
0.0090         -253.527     -272.092       18.565   641.2
0.0100         -253.539     -272.056       18.517   639.5
0.0110         -253.551     -272.015       18.464   637.7
0.0120         -253.565     -271.971       18.406   635.7
0.0130         -253.579     -271.924       18.345   633.6
0.0140         -253.595     -271.874       18.279   631.3
0.0150         -253.611     -271.820       18.209   628.9
0.0160         -253.628     -271.763       18.136   626.4
0.0170         -253.645     -271.704       18.058   623.7
0.0180         -253.664     -271.642       17.978   620.9
0.0190         -253.682     -271.577       17.895   618.0
0.0200         -253.701     -271.509       17.808   615.0
0.0210         -253.721     -271.439       17.719   612.0
0.0220         -253.740     -271.367       17.627   608.8
0.0230         -253.760     -271.293       17.532   605.5
0.0240         -253.780     -271.216       17.436   602.2
0.0250         -253.800     -271.137       17.337   598.8
0.0260         -253.820     -271.057       17.237   595.3
0.0270         -253.840     -270.975       17.135   591.8
0.0280         -253.859     -270.891       17.032   588.2
0.0290         -253.878     -270.805       16.927   584.6
0.0300         -253.897     -270.718       16.821   581.0
0.0310         -253.916     -270.630       16.714   577.3
0.0320         -253.933     -270.540       16.607   573.6
0.0330         -253.950     -270.449       16.499   569.8
0.0340         -253.967     -270.357       16.390   566.1
0.0350         -253.983     -270.264       16.282   562.3
0.0360         -253.998     -270.170       16.173   558.6
0.0370         -254.012     -270.075       16.064   554.8
0.0380         -254.024     -269.980       15.955   551.0
0.0390         -254.036     -269.883       15.847   547.3
0.0400         -254.047     -269.786       15.739   543.6
0.0410         -254.057     -269.688       15.631   539.9
0.0420         -254.065     -269.590       15.525   536.2
0.0430         -254.072     -269.491       15.419   532.5
0.0440         -254.078     -269.392       15.314   528.9
0.0450         -254.082     -269.293       15.210   525.3
0.0460         -254.085     -269.193       15.107   521.8
0.0470         -254.087     -269.093       15.006   518.3
0.0480         -254.087     -268.992       14.906   514.8
0.0490         -254.085     -268.892       14.807   511.4
0.0500         -254.081     -268.791       14.710   508.0
0.0510         -254.076     -268.691       14.615   504.7
0.0520         -254.069     -268.590       14.521   501.5
0.0530         -254.061     -268.490       14.429   498.3
0.0540         -254.050     -268.390       14.339   495.2
0.0550         -254.038     -268.289       14.251   492.2
0.0560         -254.024     -268.189       14.166   489.2
0.0570         -254.008     -268.090       14.082   486.4
0.0580         -253.990     -267.990       14.001   483.5
0.0590         -253.970     -267.891       13.922   480.8
0.0600         -253.948     -267.793       13.845   478.2
0.0610         -253.923     -267.695       13.771   475.6
0.0620         -253.897     -267.597       13.700   473.1
0.0630         -253.869     -267.500       13.631   470.8
0.0640         -253.839     -267.403       13.565   468.5
0.0650         -253.806     -267.307       13.501   466.3
0.0660         -253.771     -267.212       13.441   464.2
0.0670         -253.735     -267.118       13.383   462.2
0.0680         -253.695     -267.024       13.328   460.3
0.0690         -253.654     -266.931       13.277   458.5
0.0700         -253.611     -266.839       13.228   456.9
0.0710         -253.565     -266.748       13.183   455.3
0.0720         -253.517     -266.657       13.141   453.8
0.0730         -253.466     -266.568       13.102   452.5
0.0740         -253.413     -266.480       13.067   451.3
0.0750         -253.358     -266.393       13.035   450.2
0.0760         -253.300     -266.307       13.006   449.2
0.0770         -253.240     -266.222       12.981   448.3
0.0780         -253.178     -266.138       12.960   447.6
0.0790         -253.113     -266.056       12.943   447.0
0.0800         -253.046     -265.975       12.929   446.5
0.0810         -252.976     -265.896       12.920   446.2
0.0820         -252.904     -265.817       12.914   446.0
0.0830         -252.829     -265.741       12.912   445.9
0.0840         -252.751     -265.666       12.914   446.0
0.0850         -252.671     -265.592       12.921   446.2
0.0860         -252.589     -265.520       12.931   446.6
0.0870         -252.503     -265.450       12.946   447.1
0.0880         -252.416     -265.381       12.966   447.8
0.0890         -252.325     -265.314       12.989   448.6
0.0900         -252.232     -265.249       13.018   449.6
0.0910         -252.135     -265.186       13.050   450.7
0.0920         -252.037     -265.124       13.088   452.0
0.0930         -251.935     -265.065       13.130   453.5
0.0940         -251.831     -265.007       13.177   455.1
0.0950         -251.723     -264.952       13.229   456.9
0.0960         -251.613     -264.899       13.285   458.8
0.0970         -251.500     -264.847       13.347   461.0
0.0980         -251.384     -264.798       13.414   463.3
0.0990         -251.265     -264.751       13.486   465.8
0.1000         -251.143     -264.706       13.563   468.4
0.1010         -251.018     -264.663       13.645   471.3
0.1020         -250.890     -264.623       13.733   474.3
0.1030         -250.759     -264.585       13.826   477.5
0.1040         -250.625     -264.549       13.924   480.9
0.1050         -250.488     -264.516       14.028   484.5
0.1060         -250.347     -264.485       14.138   488.3
0.1070         -250.204     -264.457       14.253   492.2
0.1080         -250.057     -264.431       14.373   496.4
0.1090         -249.907     -264.407       14.500   500.8
0.1100         -249.755     -264.386       14.632   505.3
0.1110         -249.598     -264.368       14.770   510.1
0.1120         -249.439     -264.352       14.913   515.1
0.1130         -249.277     -264.339       15.063   520.2
0.1140         -249.111     -264.329       15.218   525.6
0.1150         -248.942     -264.321       15.379   531.1
0.1160         -248.770     -264.316       15.546   536.9
0.1170         -248.595     -264.314       15.718   542.9
0.1180         -248.417     -264.314       15.897   549.0
0.1190         -248.236     -264.317       16.081   555.4
0.1200         -248.052     -264.323       16.272   562.0
0.1210         -247.865     -264.332       16.467   568.7
0.1220         -247.675     -264.344       16.669   575.7
0.1230         -247.482     -264.358       16.876   582.8
0.1240         -247.287     -264.375       17.089   590.2
0.1250         -247.089     -264.396       17.307   597.7
0.1260         -246.888     -264.418       17.530   605.4
0.1270         -246.685     -264.444       17.759   613.3
0.1280         -246.480     -264.473       17.993   621.4
0.1290         -246.273     -264.505       18.231   629.7
0.1300         -246.064     -264.539       18.475   638.1
0.1310         -245.853     -264.576       18.723   646.6
0.1320         -245.641     -264.616       18.976   655.4
0.1330         -245.427     -264.659       19.232   664.2
0.1340         -245.212     -264.705       19.493   673.2
0.1350         -244.996     -264.754       19.758   682.4
0.1360         -244.780     -264.805       20.026   691.6
0.1370         -244.563     -264.859       20.297   701.0
0.1380         -244.346     -264.916       20.570   710.4
0.1390         -244.129     -264.976       20.847   720.0
0.1400         -243.913     -265.039       21.126   729.6
0.1410         -243.698     -265.104       21.406   739.3
0.1420         -243.484     -265.172       21.688   749.0
0.1430         -243.272     -265.243       21.971   758.8
0.1440         -243.062     -265.316       22.254   768.6
0.1450         -242.854     -265.392       22.538   778.4
0.1460         -242.649     -265.470       22.821   788.2
0.1470         -242.447     -265.551       23.104   797.9
0.1480         -242.250     -265.635       23.385   807.7
0.1490         -242.056     -265.721       23.665   817.3
0.1500         -241.867     -265.810       23.943   826.9
0.1510         -241.683     -265.901       24.217   836.4
0.1520         -241.505     -265.994       24.489   845.8
0.1530         -241.334     -266.090       24.757   855.0
0.1540         -241.169     -266.189       25.020   864.1
0.1550         -241.011     -266.289       25.278   873.0
0.1560         -240.861     -266.392       25.531   881.8
0.1570         -240.719     -266.497       25.778   890.3
0.1580         -240.586     -266.604       26.018   898.6
0.1590         -240.463     -266.714       26.251   906.6
0.1600         -240.349     -266.825       26.476   914.4
0.1610         -240.246     -266.938       26.693   921.9
0.1620         -240.153     -267.053       26.901   929.1
0.1630         -240.071     -267.170       27.099   935.9
0.1640         -240.002     -267.289       27.287   942.4
0.1650         -239.944     -267.409       27.465   948.6
0.1660         -239.899     -267.531       27.632   954.3
0.1670         -239.867     -267.654       27.787   959.7
0.1680         -239.849     -267.779       27.930   964.6
0.1690         -239.844     -267.905       28.061   969.1
0.1700         -239.853     -268.032       28.179   973.2
0.1710         -239.876     -268.160       28.284   976.9
0.1720         -239.913     -268.289       28.376   980.0
0.1730         -239.966     -268.419       28.454   982.7
0.1740         -240.033     -268.551       28.518   984.9
0.1750         -240.115     -268.683       28.568   986.7
0.1760         -240.212     -268.816       28.604   987.9
0.1770         -240.324     -268.949       28.626   988.6
0.1780         -240.451     -269.083       28.633   988.9
0.1790         -240.593     -269.218       28.626   988.7
0.1800         -240.749     -269.354       28.604   987.9
0.1810         -240.921     -269.490       28.569   986.7
0.1820         -241.107     -269.626       28.519   985.0
0.1830         -241.308     -269.763       28.455   982.8
0.1840         -241.523     -269.900       28.378   980.1
0.1850         -241.751     -270.038       28.287   976.9
0.1860         -241.993     -270.175       28.182   973.3
0.1870         -242.248     -270.313       28.065   969.3
0.1880         -242.516     -270.451       27.935   964.8
0.1890         -242.797     -270.589       27.792   959.9
0.1900         -243.089     -270.727       27.638   954.5
0.1910         -243.393     -270.865       27.472   948.8
0.1920         -243.707     -271.003       27.296   942.7
0.1930         -244.032     -271.141       27.108   936.2
0.1940         -244.367     -271.278       26.911   929.4
0.1950         -244.712     -271.416       26.704   922.3
0.1960         -245.065     -271.553       26.488   914.8
0.1970         -245.426     -271.689       26.263   907.1
0.1980         -245.795     -271.826       26.031   899.0
0.1990         -246.171     -271.962       25.791   890.7
0.2000         -246.554     -272.097       25.544   882.2
0.2010         -246.942     -272.233       25.290   873.5
0.2020         -247.336     -272.367       25.031   864.5
0.2030         -247.734     -272.501       24.767   855.4
0.2040         -248.137     -272.635       24.498   846.1
0.2050         -248.543     -272.768       24.224   836.6
0.2060         -248.953     -272.900       23.947   827.1
0.2070         -249.365     -273.032       23.667   817.4
0.2080         -249.779     -273.163       23.384   807.6
0.2090         -250.194     -273.293       23.099   797.8
0.2100         -250.610     -273.423       22.813   787.9
0.2110         -251.027     -273.552       22.525   778.0
0.2120         -251.444     -273.681       22.237   768.0
0.2130         -251.860     -273.809       21.948   758.0
0.2140         -252.276     -273.936       21.660   748.1
0.2150         -252.690     -274.063       21.373   738.2
0.2160         -253.103     -274.189       21.086   728.3
0.2170         -253.514     -274.315       20.801   718.4
0.2180         -253.922     -274.440       20.518   708.6
0.2190         -254.328     -274.564       20.237   698.9
0.2200         -254.730     -274.688       19.958   689.3
0.2210         -255.130     -274.812       19.682   679.8
0.2220         -255.526     -274.935       19.409   670.3
0.2230         -255.918     -275.057       19.139   661.0
0.2240         -256.307     -275.179       18.873   651.8
0.2250         -256.691     -275.301       18.610   642.7
0.2260         -257.071     -275.422       18.352   633.8
0.2270         -257.446     -275.543       18.097   625.0
0.2280         -257.816     -275.663       17.847   616.4
0.2290         -258.182     -275.783       17.601   607.9
0.2300         -258.543     -275.902       17.359   599.5
0.2310         -258.899     -276.022       17.123   591.4
0.2320         -259.250     -276.140       16.891   583.4
0.2330         -259.595     -276.259       16.664   575.5
0.2340         -259.935     -276.377       16.441   567.8
0.2350         -260.270     -276.495       16.224   560.3
0.2360         -260.600     -276.612       16.012   553.0
0.2370         -260.924     -276.729       15.805   545.8
0.2380         -261.243     -276.846       15.603   538.9
0.2390         -261.557     -276.962       15.406   532.1
0.2400         -261.865     -277.078       15.214   525.4
0.2410         -262.167     -277.194       15.027   519.0
0.2420         -262.465     -277.310       14.846   512.7
0.2430         -262.756     -277.426       14.669   506.6
0.2440         -263.043     -277.541       14.498   500.7
0.2450         -263.324     -277.656       14.332   495.0
0.2460         -263.600     -277.771       14.170   489.4
0.2470         -263.871     -277.885       14.014   484.0
0.2480         -264.136     -278.000       13.863   478.8
0.2490         -264.397     -278.114       13.717   473.8
0.2500         -264.652     -278.228       13.576   468.9
0.2510         -264.902     -278.342       13.440   464.2
0.2520         -265.147     -278.456       13.309   459.6
0.2530         -265.388     -278.570       13.182   455.3
0.2540         -265.623     -278.683       13.060   451.1
0.2550         -265.854     -278.797       12.943   447.0
0.2560         -266.080     -278.910       12.831   443.1
0.2570         -266.301     -279.024       12.723   439.4
0.2580         -266.517     -279.137       12.620   435.9
0.2590         -266.730     -279.251       12.521   432.4
0.2600         -266.937     -279.364       12.427   429.2
0.2610         -267.140     -279.477       12.337   426.1
0.2620         -267.339     -279.591       12.252   423.1
0.2630         -267.533     -279.704       12.170   420.3
0.2640         -267.724     -279.817       12.094   417.7
0.2650         -267.910     -279.931       12.021   415.2
